Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
1537,3141,The Bucket King,6.077,1349,2002,45,2,6,,Card Game,Hand Management,0,6,6,1: Need crib
1538,227,Knightmare Chess,6.077,1156,1994,60,2,2,Bruno Faidutti,Abstract Strategy,Grid Movement,0,10,2,4: Unplayable
1539,40444,Livingstone,6.077,1042,2009,35,2,5,,Dice,Area Control / Area Influence,0,8,4,1: Need crib
1540,38194,Cheaty Mages!,6.077,953,2008,30,3,6,,Card Game,Betting/Wagering,0,8,4,2: Possible
1541,2539,Urland,6.076,663,2001,90,3,5,,,Action Point Allowance System,1,12,4,3: Too much
1542,146408,Sentinel Tactics: The Flame of Freedom,6.076,279,2014,45,2,8,,,Dice Rolling,7,8,4,3: Too much
1543,92666,Hegemonic,6.075,334,2013,180,2,6,,Economic,Area Control / Area Influence,2,12,4,4: Unplayable
1544,85250,The Dwarf King,6.075,785,2011,40,3,5,Bruno Faidutti,Card Game,Trick-taking,0,6,3,2: Possible
1545,6539,Formula DÃ© Mini,6.075,840,2003,60,2,6,,,Press Your Luck,0,6,4,1: Need crib
1546,7929,Dungeons & Dragons Miniatures,6.075,945,2003,60,2,2,,Fantasy,Dice Rolling,11,10,2,4: Unplayable
1547,29602,Okko: Era of the Asagiri,6.073,563,2008,45,2,2,,Fighting,Area Control / Area Influence,3,10,2,3: Too much
1548,105593,Mogel Motte,6.073,635,2011,20,3,5,,Card Game,Hand Management,0,6,5,1: Need crib
1549,56786,Kuhhandel Master,6.073,440,2009,60,2,6,,Card Game,Auction/Bidding,0,8,5,1: Need crib
1550,4553,Attribute,6.072,989,2002,30,3,8,,Party Game,Hand Management,2,8,6,
1551,54137,Battle Sheep,6.072,548,2010,15,2,4,,Abstract Strategy,Grid Movement,0,6,4,1: Need crib
1552,117914,Milestones,6.071,617,2012,60,2,4,,,Route/Network Building,0,10,3,1: Need crib
1553,13293,Vs. System,6.071,633,2004,15,2,2,,Card Game,Hand Management,0,8,2,4: Unplayable
1554,110524,"Goblins, Inc. ",6.071,680,2012,60,2,4,,Dice,Dice Rolling,1,10,4,1: Need crib
1555,34373,Tiki Topple,6.07,1119,2008,20,2,4,,Abstract Strategy,Hand Management,0,6,4,1: Need crib
1556,1107,Njet!,6.07,456,1997,20,3,4,,Card Game,Hand Management,0,12,4,1: Need crib
1557,114387,Thebes: The Tomb Raiders,6.07,352,2013,30,2,4,,Card Game,Card Drafting,0,8,2,1: Need crib
1558,38657,Cities,6.07,909,2008,15,1,4,,,Pattern Building,0,6,2,1: Need crib
1559,137397,Via Appia,6.069,542,2013,45,2,4,,,Press Your Luck,0,8,4,1: Need crib
1560,65200,Asteroyds,6.069,814,2010,30,2,6,,Science Fiction,Action / Movement Programming,0,8,5,1: Need crib
1561,17804,Dungeons & Dragons Basic Game,6.069,575,2004,90,2,5,,Fantasy,Co-operative Play,0,6,2,3: Too much
1562,32441,Bezzerwizzer,6.069,1147,2007,45,2,4,,Party Game,Betting/Wagering,2,14,4,
1563,105624,Poseidon's Kingdom,6.069,404,2011,45,2,4,,Dice,Area Movement,0,10,3,1: Need crib
1564,71021,Evolution: The Origin of Species,6.068,994,2010,30,2,4,,Card Game,Dice Rolling,3,8,4,2: Possible
1565,1821,Grant Takes Command,6.066,203,2001,120,2,2,,Wargame,Hex-and-Counter,1,14,2,
1566,33434,Funkenschlag: EnBW,6.066,150,2007,120,2,6,Friedemann Friese,Economic,Auction/Bidding,21,12,5,1: Need crib
1567,66424,Dungeon Run,6.066,1240,2011,60,1,6,,Fantasy,Area Movement,0,8,4,3: Too much
1568,117960,Saint Malo,6.066,846,2012,60,2,5,,Dice,Dice Rolling,0,8,2,1: Need crib
1569,135649,Tales & Games: The Three Little Pigs,6.065,654,2013,20,2,5,,Children's Game,Dice Rolling,1,5,4,1: Need crib
1570,3452,Emerald,6.064,1159,2002,45,2,5,,Fantasy,Dice Rolling,0,8,3,1: Need crib
1571,92120,Atlantis Rising,6.064,574,2012,60,2,6,,,Co-operative Play,0,10,5,3: Too much
1572,3154,Nautilus,6.064,1118,2002,120,2,4,,Economic,Set Collection,0,12,4,1: Need crib
1573,141,Andromeda,6.064,1085,1999,60,3,5,Alan R. Moon,Science Fiction,Area Control / Area Influence,0,10,4,1: Need crib
1574,4206,Roads to Gettysburg,6.063,221,1993,180,2,2,,Wargame,Hex-and-Counter,1,,2,
1575,247,Gloria Picktoria,6.063,880,1996,45,2,5,Alan R. Moon,Card Game,Set Collection,0,8,4,1: Need crib
1576,67877,Anomia,6.063,593,2010,20,3,6,,Party Game,,0,8,5,
1577,437,Master Labyrinth,6.062,1621,1991,30,2,4,,Children's Game,Modular Board,0,8,2,1: Need crib
1578,2238,PanzerBlitz,6.062,1254,1970,90,2,2,Jim Dunnigan,Wargame,Dice Rolling,2,12,2,2: Possible
1579,14188,Bughouse Chess,6.062,260,1960,10,4,4,(Uncredited),Abstract Strategy,Grid Movement,0,8,4,1: Need crib
1580,39813,Qwirkle Cubes,6.061,668,2009,45,2,4,,Abstract Strategy,Dice Rolling,0,6,2,1: Need crib
1581,154386,Medieval Academy,6.061,313,2014,30,2,5,,,Card Drafting,1,8,4,1: Need crib
1582,68,Successors (second edition),6.061,413,1997,180,2,4,Richard H. Berg,Wargame,Campaign / Battle Card Driven,0,12,4,1: Need crib
1583,24,Twilight Imperium,6.061,639,1997,240,2,6,,Science Fiction,Dice Rolling,3,,4,
1584,35248,Batavia,6.061,828,2008,60,3,5,,Economic,Auction/Bidding,0,10,3,1: Need crib
1585,1038,Tantrix,6.061,1245,1991,30,1,4,,Abstract Strategy,Pattern Building,0,8,2,1: Need crib
1586,14683,Men of Iron,6.06,453,2005,180,2,2,Richard H. Berg,Wargame,Hex-and-Counter,1,12,2,2: Possible
1587,31954,A Victory Denied,6.06,268,2009,360,2,2,,Wargame,Chit-Pull System,0,12,2,
1588,22287,Buccaneer,6.06,1423,2006,30,3,5,,,Auction/Bidding,0,8,4,1: Need crib
1589,9028,Tongiaki,6.06,2042,2004,45,2,6,,,Area Control / Area Influence,0,8,4,1: Need crib
1590,10081,Axis & Allies: D-Day,6.059,1462,2004,120,2,3,,Wargame,Area Movement,0,12,2,2: Possible
1591,1293,Boggle,6.059,4382,1972,10,1,8,,Dice,Pattern Recognition,0,10,4,
1592,21287,Bison: Thunder on the Prairie,6.058,1052,2006,90,2,4,Wolfgang Kramer,,Action Point Allowance System,0,14,3,1: Need crib
1593,97803,Penny Arcade: The Game â€“ Gamers vs. Evil,6.058,644,2011,30,2,4,,Card Game,Card Drafting,2,12,4,3: Too much
1594,140125,Fallen,6.058,212,2014,90,2,2,,Card Game,Dice Rolling,5,12,2,4: Unplayable
1595,6795,Battleball,6.057,1744,2003,45,2,2,,Science Fiction,Dice Rolling,0,6,2,2: Possible
1596,1561,Clue Master Detective,6.056,806,1988,60,3,10,(Uncredited),,Memory,0,8,6,2: Possible
1597,9825,Early American Chrononauts,6.055,667,2004,45,1,6,,Card Game,Modular Board,2,10,4,3: Too much
1598,4214,Stonewall in the Valley,6.054,235,1995,180,2,2,,Wargame,Hex-and-Counter,1,,2,1: Need crib
1599,34599,Toledo,6.054,1469,2008,60,2,4,Martin Wallace,,Hand Management,0,8,4,1: Need crib
1600,154825,Arkwright,6.054,204,2014,240,2,4,,Economic,Simulation,0,12,4,2: Possible
1601,29581,Tomb,6.054,1197,2008,90,1,6,,Fantasy,Dice Rolling,0,12,3,4: Unplayable
1602,1459,Sharp Shooters,6.053,917,1994,10,2,6,,Dice,Dice Rolling,0,8,3,1: Need crib
1603,7935,1844: Switzerland,6.052,142,2003,300,3,7,,Economic,Auction/Bidding,0,16,5,1: Need crib
1604,1800,Mythos,6.052,673,1996,45,1,10,,Card Game,Set Collection,0,8,2,4: Unplayable
1605,113293,Article 27: The UN Security Council Game,6.052,536,2012,30,3,6,,,Trading,0,10,6,1: Need crib
1606,2795,Car Wars,6.052,1657,1981,45,2,8,Steve Jackson (I),Science Fiction,Dice Rolling,54,10,4,2: Possible
1607,29259,Axis & Allies:  Guadalcanal,6.051,485,2007,120,2,2,,Wargame,Area Movement,0,12,2,2: Possible
1608,32114,Merchants,6.051,618,2007,30,2,4,Reiner Knizia,Card Game,Hand Management,0,8,3,1: Need crib
1609,102898,Sewer Pirats,6.051,488,2012,45,2,5,,,Card Drafting,0,8,4,1: Need crib
1610,911,Empires of the Middle Ages,6.05,327,1980,240,1,6,Jim Dunnigan,Economic,Voting,0,16,6,4: Unplayable
1611,18289,Key Largo,6.05,653,2005,45,3,5,Bruno Faidutti,,Action / Movement Programming,0,8,5,2: Possible
1612,136000,Rivet Wars: Eastern Front,6.05,262,2013,30,2,2,,Wargame,Dice Rolling,13,10,2,2: Possible
1613,3475,Shadowfist,6.049,364,1995,60,2,7,,Card Game,Hand Management,2,12,4,4: Unplayable
1614,22198,Great Wall of China,6.049,1648,2006,30,2,5,Reiner Knizia,Card Game,Area Control / Area Influence,0,10,4,1: Need crib
1615,6778,The Settlers of Zarahemla,6.049,427,2003,90,2,4,Klaus Teuber,,Modular Board,1,8,4,2: Possible
1616,293,Bamboleo,6.048,1002,1996,30,2,7,,Party Game,Press Your Luck,1,5,4,1: Need crib
1617,1677,Knightmare Chess 2,6.048,536,1998,60,2,2,Bruno Faidutti,Abstract Strategy,Grid Movement,0,,2,4: Unplayable
1618,1002,Cosmic Eidex,6.047,399,1998,60,3,3,,Card Game,Trick-taking,0,12,3,2: Possible
1619,17970,Axis & Allies Miniatures,6.047,984,2005,60,2,2,,Wargame,Campaign / Battle Card Driven,4,10,2,4: Unplayable
1620,80979,Fortuna,6.047,557,2011,60,2,4,,,Dice Rolling,0,8,4,1: Need crib
1621,4985,Warmaster,6.046,371,2000,120,2,2,,Fantasy,Variable Player Powers,1,,2,1: Need crib
1622,3548,Assault on Hoth: The Empire Strikes Back,6.046,383,1988,90,2,2,,Science Fiction,Campaign / Battle Card Driven,0,8,2,2: Possible
1623,5534,Light Speed,6.044,1098,2003,10,2,5,James Ernest,Fighting,Tile Placement,0,8,4,1: Need crib
1624,155695,Age of War,6.044,884,2014,20,2,6,Reiner Knizia,Dice,Dice Rolling,1,8,4,1: Need crib
1625,3464,Melee,6.044,442,1977,15,2,2,Steve Jackson (I),Fantasy,Dice Rolling,8,12,2,1: Need crib
1626,40531,Cosmic Encounter,6.043,969,2000,60,2,4,,Card Game,Variable Player Powers,0,10,4,3: Too much
1627,39328,Baltic Gap,6.043,164,2009,240,2,2,Dean Essig,Wargame,Dice Rolling,0,14,2,2: Possible
1628,119337,Aeroplanes: Aviation Ascendant,6.043,528,2012,120,3,5,Martin Wallace,Economic,Area Control / Area Influence,3,12,4,1: Need crib
1629,167270,Medina (second edition),6.043,190,2014,60,2,4,,Abstract Strategy,Tile Placement,0,8,4,1: Need crib
1630,4529,Hellas,6.042,1829,2002,60,2,2,,,Area Control / Area Influence,0,10,2,3: Too much
1631,6581,Korea: The Forgotten War,6.042,181,2003,360,2,2,Dean Essig,Wargame,Dice Rolling,0,2,2,3: Too much
1632,2748,"Thirty Years War: Europe in Agony, 1618-1648 ",6.042,524,2001,360,2,2,,Wargame,Campaign / Battle Card Driven,0,2,2,4: Unplayable
1633,6281,Eketorp,6.042,1043,2003,45,3,6,,Fighting,Action / Movement Programming,0,8,6,1: Need crib
1634,38032,Byzanz,6.041,632,2008,45,3,6,,Card Game,Auction/Bidding,0,8,4,1: Need crib
1635,7062,Smarty Party!,6.041,561,2003,45,3,8,,Party Game,,4,12,6,4: Unplayable
1636,95,Igel Ã„rgern,6.04,906,1990,30,2,6,,Children's Game,Roll / Spin and Move,0,6,4,1: Need crib
1637,1545,Flowerpower,6.04,608,2001,30,1,2,,Abstract Strategy,Tile Placement,0,6,2,1: Need crib
1638,23953,Outside the Scope of BGG,6.039,471,,0,0,0,(Uncredited),,,0,2,0+,1: Need crib
1639,6366,Dungeons & Dragons: The Fantasy Adventure Board Game,6.039,1056,2003,60,2,5,,Fantasy,Co-operative Play,2,8,5,4: Unplayable
1640,62853,JAB: Realtime Boxing,6.039,814,2011,15,2,2,,Card Game,Pattern Building,0,8,2,2: Possible
1641,14080,The Mighty Endeavor,6.039,263,2005,360,1,2,Dean Essig,Wargame,Dice Rolling,0,14,2,
1642,19,Wacky Wacky West,6.038,1294,1991,60,2,4,Klaus Teuber,,Tile Placement,0,8,4,1: Need crib
1643,5651,The Longest Day,6.037,327,1979,5400,2,8,,Wargame,Co-operative Play,0,16,3,2: Possible
1644,24565,Magical Athlete,6.037,713,2002,60,4,5,,Fantasy,Card Drafting,0,8,5,3: Too much
1645,26055,Twilight Imperium (second edition),6.037,403,2000,240,2,6,,Science Fiction,Dice Rolling,1,,6,4: Unplayable
1646,25727,Lock 'n Load: A Day of Heroes,6.036,246,2008,90,1,2,,Wargame,Grid Movement,0,12,2,2: Possible
1647,125924,Clubs,6.036,473,2013,30,2,6,,Card Game,Press Your Luck,0,6,4,1: Need crib
1648,10383,Risk: Godstorm,6.036,1772,2004,120,2,5,,Dice,Area Control / Area Influence,0,10,4,4: Unplayable
1649,2290,Ghosts!,6.036,995,1980,15,2,2,Alex Randolph,Children's Game,Grid Movement,0,6,2,1: Need crib
1650,65225,Road Kill Rally,6.036,696,2010,90,3,6,,Fighting,Dice Rolling,0,14,4,3: Too much
1651,36887,Waterloo,6.035,340,2009,180,2,2,Martin Wallace,Wargame,Action Point Allowance System,0,12,2,1: Need crib
1652,131891,Lost Legends,6.035,620,2013,70,3,5,,Fantasy,Card Drafting,2,10,3,2: Possible
1653,545,Kaleidos,6.035,448,1995,60,2,12,,Party Game,Pattern Recognition,2,8,4,1: Need crib
1654,131118,Asgard,6.035,327,2012,90,2,4,,,Simultaneous Action Selection,0,12,4,1: Need crib
1655,357,Excape,6.035,1208,1998,30,3,6,Reiner Knizia,Dice,Dice Rolling,0,8,5,1: Need crib
1656,257,Kill Doctor Lucky,6.035,4522,1996,45,3,7,James Ernest,,Point to Point Movement,3,10,5,2: Possible
1657,23,Divine Right,6.034,451,1979,360,2,6,,Fantasy,Dice Rolling,0,12,5,3: Too much
1658,69120,Cadwallon: City of Thieves,6.033,1154,2010,45,2,4,,Fantasy,Action Point Allowance System,7,8,4,3: Too much
1659,130882,Cardline: Animals,6.033,488,2012,15,2,8,,Card Game,,0,6,3,1: Need crib
1660,25823,Cartagena 2. The Pirate's Nest,6.032,720,2006,45,2,5,,,Action Point Allowance System,0,6,4,1: Need crib
1661,88513,Chicken Caesar,6.031,396,2012,90,3,6,,,Area Control / Area Influence,3,14,5,1: Need crib
1662,29256,Origins:  How We Became Human,6.031,447,2007,180,2,5,,,Auction/Bidding,4,14,4,3: Too much
1663,74,Apples to Apples,6.03,12091,1999,30,4,10,,Card Game,Hand Management,6,10,6,4: Unplayable
1664,31920,Munchkin Booty,6.03,1157,2008,90,3,6,Steve Jackson (I),Card Game,Dice Rolling,35,12,5,4: Unplayable
1665,19947,Ark,6.03,1228,2005,45,3,5,,,Card Drafting,2,10,3,1: Need crib
1666,159473,Quartermaster General,6.029,180,2014,90,2,6,,World War II,Area Control / Area Influence,2,10,6,3: Too much
1667,37728,Rock the Beat,6.029,784,2008,30,4,12,,Party Game,Memory,0,6,8,2: Possible
1668,127095,Origin,6.029,398,2013,60,2,4,,,Area Control / Area Influence,1,8,4,2: Possible
1669,152470,Fief: France 1429,6.028,179,2015,120,3,6,,,Area Control / Area Influence,6,12,6,1: Need crib
1670,20295,WeyKick,6.028,341,2001,10,2,4,,,Partnerships,0,5,2,1: Need crib
1671,39832,Sumeria,6.028,581,2009,45,3,4,,Abstract Strategy,Area Control / Area Influence,1,8,3,1: Need crib
1672,22237,Hart an der Grenze,6.028,820,2006,40,3,6,,Card Game,Hand Management,0,8,6,1: Need crib
1673,5336,Talisman (third edition),6.028,1290,1994,120,2,8,,Fantasy,Dice Rolling,9,5,4,4: Unplayable
1674,31545,Pow Wow,6.028,505,2006,30,3,8,,,,0,8,7,1: Need crib
1675,40603,Incursion,6.027,284,2009,120,2,2,,Dice,Action Point Allowance System,1,12,2,2: Possible
1676,37696,The Stars Are Right,6.027,944,2008,55,2,4,,Card Game,Hand Management,0,12,2,2: Possible
1677,1323,Cry Havoc,6.027,500,1981,90,2,2,,Wargame,Hex-and-Counter,4,12,2,2: Possible
1678,107704,Fief,6.027,215,2011,120,3,6,,,Area Control / Area Influence,1,10,6,1: Need crib
1679,19358,Western Town,6.027,270,2005,90,2,4,,,Dice Rolling,1,14,3,1: Need crib
1680,85769,Panzer (second edition),6.026,198,2012,0,2,4,,Wargame,Hex-and-Counter,3,12,2,3: Too much
1681,41003,Keltis: Der Weg der Steine Mitbringspiel,6.026,722,2009,15,2,4,Reiner Knizia,,Press Your Luck,0,6,3,1: Need crib
1682,35935,Day & Night,6.026,630,2008,45,2,2,,Fantasy,Area Control / Area Influence,0,10,2,3: Too much
1683,15157,Amazonas,6.026,997,2005,50,3,4,,,Hand Management,0,8,4,1: Need crib
1684,156336,Onirim (second edition),6.025,255,2014,15,1,2,,Card Game,Card Drafting,2,,1,1: Need crib
1685,140457,Ultimate Werewolf: Inquisition,6.024,494,2013,45,3,12,,,Partnerships,1,8,5,2: Possible
1686,854,Doge,6.024,648,2000,45,3,4,,,Area Control / Area Influence,0,12,4,1: Need crib
1687,225,Icehouse,6.024,574,1989,20,3,5,,Abstract Strategy,,0,12,4,1: Need crib
1688,10156,The Russian Campaign (fourth edition),6.024,238,2003,240,2,4,,Wargame,Dice Rolling,1,10,2,2: Possible
1689,8207,Dungeoneer: Vault of the Fiends,6.024,1047,2003,30,2,4,,Card Game,Action Point Allowance System,0,8,4,4: Unplayable
1690,21464,California,6.024,1242,2006,60,2,5,Michael Schacht,Economic,Set Collection,2,6,4,1: Need crib
1691,1830,Nippon Rails,6.023,455,1992,180,2,4,,Economic,Pick-up and Deliver,0,8,3,3: Too much
1692,69601,1880: China,6.023,141,2010,300,3,7,,Economic,Auction/Bidding,0,16,4,1: Need crib
1693,6663,Lunar Rails,6.023,431,2003,180,2,6,,Economic,Pick-up and Deliver,0,10,3,2: Possible
1694,27680,1936: Guerra Civil,6.023,239,2006,45,2,2,,Card Game,Card Drafting,1,16,2,4: Unplayable
1695,137031,Ancient Terrible Things,6.023,322,2014,60,2,4,,Dice,Dice Rolling,1,8,3,3: Too much
1696,128698,Vampire Empire,6.022,336,2012,30,2,2,,Card Game,Hand Management,0,,2,2: Possible
1697,943,Ligretto,6.022,1836,1988,10,2,4,(Uncredited),Card Game,Pattern Building,0,6,4,1: Need crib
1698,26235,Pick & Pack,6.022,612,2007,20,2,2,,Abstract Strategy,,0,8,2,1: Need crib
1699,70519,Cruel Necessity,6.022,185,2013,60,1,1,,Wargame,Action Point Allowance System,0,10,1,3: Too much
1700,6927,Hornet Leader,6.021,261,1991,30,1,2,Dan Verssen,Wargame,Simulation,2,12,1,3: Too much
1701,12896,La Bataille des Quatre Bras,6.02,200,1991,0,1,2,,Wargame,Hex-and-Counter,3,16,,
1702,18746,Gustav Adolf the Great: With God and Victorious Arms,6.02,196,2006,300,1,2,,Wargame,Dice Rolling,0,14,2,2: Possible
1703,158572,Waggle Dance,6.02,291,2014,90,2,4,,Dice,Dice Rolling,0,8,4,1: Need crib
1704,38318,Start Player,6.02,625,2008,1,2,99,,Card Game,,0,4,3,4: Unplayable
1705,8552,I Go!,6.019,866,2003,30,2,4,,Card Game,Card Drafting,0,8,4,1: Need crib
1706,34004,Big Points,6.019,699,2008,20,2,5,,Abstract Strategy,Set Collection,0,8,3,1: Need crib
1707,46807,Infinite City,6.019,1511,2009,35,2,6,,Science Fiction,Area Control / Area Influence,1,8,3,3: Too much
1708,1552,Illuminati: New World Order,6.018,1085,1994,120,2,8,Steve Jackson (I),Card Game,Action Point Allowance System,0,12,4,4: Unplayable
1709,21985,Giro Galoppo,6.018,482,2006,30,2,5,,Children's Game,,0,5,4,1: Need crib
1710,67181,PIX,6.018,396,2012,30,4,9,,Party Game,Pattern Recognition,0,,7,4: Unplayable
1711,3408,This Accursed Civil War,6.018,221,2002,240,2,2,,Wargame,Hex-and-Counter,1,14,2,
1712,62225,Infidel,6.017,214,2011,120,1,2,Richard H. Berg,Wargame,Dice Rolling,0,14,2,3: Too much
1713,145588,Citrus,6.017,304,2013,60,2,5,,Economic,Tile Placement,0,8,3,1: Need crib
1714,2998,Reds! The Russian Civil War 1918-1921,6.017,293,2001,360,1,2,,Wargame,Chit-Pull System,0,14,2,3: Too much
1715,392,Brawl,6.017,981,1999,15,2,7,James Ernest,Card Game,Variable Player Powers,0,6,2,2: Possible
1716,25114,Die SÃ_ulen von Venedig,6.016,546,2006,45,2,6,,,Hand Management,0,10,5,2: Possible
1717,142039,Lost Legacy,6.016,493,2013,10,2,6,,Card Game,Hand Management,3,10,4,2: Possible
1718,2162,"Warhammer 40,000 ",6.016,1686,1993,120,2,6,,Fighting,Dice Rolling,6,12,2,3: Too much
1719,23950,Viktory II,6.016,390,2006,60,2,8,,Fighting,Dice Rolling,1,10,4,1: Need crib
1720,154003,Pagoda,6.015,371,2014,30,2,2,,Card Game,Hand Management,0,8,2,1: Need crib
1721,120605,The Convoy,6.015,372,2012,30,2,2,,Card Game,Hand Management,0,10,2,1: Need crib
1722,32989,Axis Empires: Totaler Krieg!,6.014,137,2011,3600,1,3,,Wargame,Campaign / Battle Card Driven,1,14,3,4: Unplayable
1723,2470,The Extraordinary Adventures of Baron Munchausen,6.014,253,1998,45,3,20,,Party Game,Auction/Bidding,0,8,6,1: Need crib
1724,20865,Bolide,6.013,608,2005,120,2,8,,,Dice Rolling,2,10,5,1: Need crib
1725,142854,Infection: Humanity's Last Gasp,6.013,216,2013,45,1,1,,,Dice Rolling,0,10,1,4: Unplayable
1726,670,Starship Troopers,6.013,913,1976,120,1,2,,Science Fiction,Hex-and-Counter,1,12,2,3: Too much
1727,3895,Silent Death,6.013,363,1990,120,2,8,,Fighting,Hex-and-Counter,4,10,2,4: Unplayable
1728,63167,Undermining,6.013,586,2011,45,2,5,,Science Fiction,Action Point Allowance System,0,8,4,2: Possible
1729,2228,War of the Ring,6.012,730,1977,180,2,3,Richard H. Berg,Fantasy,Area Control / Area Influence,0,12,2,3: Too much
1730,140519,Myth,6.012,703,2014,120,2,5,,Fantasy,Co-operative Play,27,10,4,4: Unplayable
1731,91534,The Struggle for Catan,6.012,1183,2011,45,2,4,Klaus Teuber,Card Game,Hand Management,1,8,4,3: Too much
1732,816,2038: Tycoons of the Asteroid Belt,6.012,317,1995,360,3,6,,Science Fiction,Auction/Bidding,1,14,4,2: Possible
1733,3661,Imperium,6.012,424,1977,180,2,2,Frank Chadwick,Science Fiction,Hex-and-Counter,0,12,2,1: Need crib
1734,124380,Ladies & Gentlemen,6.011,532,2013,30,4,10,,Party Game,Card Drafting,0,10,6,1: Need crib
1735,73538,Pirate Fluxx,6.011,1169,2011,15,2,6,,Card Game,Hand Management,1,8,4,3: Too much
1736,364,Samarkand,6.011,680,1980,30,2,5,,Economic,Pick-up and Deliver,1,8,4,1: Need crib
1737,33643,Whoowasit?,6.01,319,2007,30,2,4,Reiner Knizia,Children's Game,Co-operative Play,0,5,3,
1738,3593,Star Wars: Star Warriors,6.01,409,1987,120,2,6,,Science Fiction,Action / Movement Programming,0,12,2,2: Possible
1739,27969,"A Most Dangerous Time: Japan in Chaos, 1570-1584 ",6.01,242,2009,240,2,4,,Wargame,Action Point Allowance System,0,14,2,2: Possible
1740,859,Illuminati,6.01,2076,1982,120,2,6,Steve Jackson (I),Card Game,,4,12,4,4: Unplayable
1741,313,Big Boss,6.009,306,1994,90,2,6,Wolfgang Kramer,Economic,Stock Holding,0,10,4,1: Need crib
1742,21754,Nottingham,6.009,1228,2006,30,3,7,Uwe Rosenberg,Card Game,Auction/Bidding,0,10,5,1: Need crib
1743,4047,Across 5 Aprils,6.009,358,1992,180,1,2,,Wargame,Chit-Pull System,0,12,2,2: Possible
1744,3406,Lines of Action,6.009,283,1969,20,2,2,,Abstract Strategy,Grid Movement,0,6,2,1: Need crib
1745,713,Nuclear War,6.009,2283,1965,60,2,6,,Card Game,Action / Movement Programming,5,10,6,4: Unplayable
1746,27165,Age of Discovery,6.008,764,2007,45,2,4,,Card Game,Card Drafting,0,10,3,1: Need crib
1747,2876,Mage Knight Dungeons,6.008,607,2002,60,2,4,,Fantasy,Action Point Allowance System,0,10,2,2: Possible
1748,64826,Moongha Invaders: Mad Scientists and Atomic Monsters Attack the Earth!,6.008,314,2010,90,3,4,Martin Wallace,Science Fiction,Area Control / Area Influence,0,10,4,2: Possible
1749,235,Blackbeard,6.008,1172,1991,180,1,4,Richard H. Berg,Wargame,Hex-and-Counter,0,12,1,3: Too much
1750,935,Australian Rails,6.008,404,1994,240,2,6,,Economic,Pick-up and Deliver,0,12,3,2: Possible
1751,42306,Wings of War: WW2 Deluxe set,6.007,274,2009,45,2,4,,Card Game,Action / Movement Programming,1,,,1: Need crib
1752,58099,Granada,6.007,327,2009,45,2,6,,,Commodity Speculation,0,8,3,1: Need crib
1753,3632,Too Many Cooks,6.007,896,2002,30,2,5,Reiner Knizia,Card Game,Hand Management,0,8,4,1: Need crib
1754,6707,Age of Mythology: The Boardgame,6.006,2739,2003,180,2,4,,,Campaign / Battle Card Driven,1,10,3,3: Too much
1755,84889,Cave Evil,6.006,185,2011,180,2,4,,Fantasy,Area Movement,0,14,3,4: Unplayable
1756,32382,Gipsy King,6.006,555,2007,30,2,5,,Abstract Strategy,Area Control / Area Influence,1,8,3,1: Need crib
1757,8515,Hybrid,6.006,271,2003,120,2,2,,Fantasy,Dice Rolling,1,12,2,
1758,106999,Coney Island,6.006,568,2011,60,2,4,Michael Schacht,Economic,Tile Placement,1,10,4,1: Need crib
1759,18243,Parthenon: Rise of the Aegean,6.005,813,2005,120,3,6,,Economic,Pick-up and Deliver,0,12,3,4: Unplayable
1760,283,Advanced Third Reich,6.005,573,1992,2480,2,6,,Wargame,Hex-and-Counter,0,16,2,3: Too much
1761,30,Dark Tower,6.004,910,1981,90,1,4,,Fantasy,Area Movement,0,8,4,1: Need crib
1762,33468,Zombie in my Pocket,6.004,1243,2007,5,1,1,,Fighting,Modular Board,0,10,1,2: Possible
1763,149241,Assault on Doomrock,6.003,195,2014,150,1,4,,Fantasy,Co-operative Play,2,12,4,4: Unplayable
1764,148291,Trieste,6.003,349,2013,25,3,3,,Card Game,Hand Management,0,12,3,3: Too much
1765,13362,"Warhammer 40,000 (fourth edition) ",6.003,968,2004,60,2,6,,Fantasy,Dice Rolling,6,12,2,1: Need crib
1766,2535,Valley of the Mammoths,6.002,936,1991,180,3,6,Bruno Faidutti,Fighting,Area Control / Area Influence,1,10,4,3: Too much
1767,1209,Pax Britannica,6.001,581,1985,300,4,7,,Wargame,Dice Rolling,0,16,7,3: Too much
1768,23890,Der schwarze Pirat,6.001,460,2006,15,2,4,,Children's Game,Dice Rolling,0,4,4,1: Need crib
1769,29387,Zombie Fluxx,6.001,3761,2007,15,2,6,,Card Game,Hand Management,3,8,4,4: Unplayable
1770,47046,Gambit 7,6.001,437,2008,15,3,21,,Party Game,Betting/Wagering,1,6,6,4: Unplayable
1771,111502,Star Trek Deck Building Game: The Next Generation â€“ The Next Phase,6.001,326,2012,90,2,4,,Fighting,Card Drafting,4,10,3,4: Unplayable
1772,27385,Alchemist,6.001,1052,2007,40,2,5,,,Set Collection,2,8,4,1: Need crib
1773,1036,Speculation,6.001,383,1992,45,3,6,,Economic,Commodity Speculation,3,12,5,1: Need crib
1774,4095,Star Munchkin,6,2956,2002,90,3,6,Steve Jackson (I),Card Game,Dice Rolling,35,12,4,4: Unplayable
