Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
126,13122,Antiquity,7.282,1929,2004,180,2,4,,Economic,Modular Board,0,14,3,3: Too much
127,79828,A Few Acres of Snow,7.281,4959,2011,120,2,2,Martin Wallace,Card Game,Area Control / Area Influence,0,12,2,2: Possible
128,40765,Clash of Cultures,7.279,2548,2012,240,2,4,,Economic,Area Movement,2,14,4,4: Unplayable
129,37046,Ghost Stories,7.279,9812,2008,60,1,4,,Fantasy,Area Movement,9,12,4,1: Need crib
130,98778,Hanabi,7.279,12189,2010,25,2,5,,Card Game,Co-operative Play,2,10,4,1: Need crib
131,136888,Bruges,7.278,3946,2013,60,2,4,,Card Game,Dice Rolling,2,10,3,4: Unplayable
132,146439,BattleLore (Second Edition),7.277,1349,2013,90,2,2,,Fantasy,Campaign / Battle Card Driven,4,10,2,3: Too much
133,31594,In the Year of the Dragon,7.277,7098,2007,100,2,5,,Economic,Hand Management,2,12,4,1: Need crib
134,25554,Notre Dame,7.272,8539,2007,75,2,5,,Economic,Area Control / Area Influence,2,10,3,1: Need crib
135,123123,BattleCON: Devastation of Indines,7.272,1018,2013,45,1,5,,Card Game,Hand Management,10,10,2,3: Too much
136,148949,Istanbul,7.269,3421,2014,50,2,5,,Economic,Dice Rolling,2,10,4,1: Need crib
137,25021,Sekigahara: The Unification of Japan,7.267,1459,2011,180,2,2,,Wargame,Hand Management,0,12,2,1: Need crib
138,25292,Merchants & Marauders,7.267,7006,2010,180,2,4,,,Action Point Allowance System,1,12,4,4: Unplayable
139,63628,The Manhattan Project,7.266,3890,2012,120,2,5,,Economic,Card Drafting,2,10,4,1: Need crib
140,5,Acquire,7.263,12921,1964,90,3,6,,Economic,Hand Management,0,12,4,1: Need crib
141,2655,Hive,7.263,14998,2001,20,2,2,,Abstract Strategy,Grid Movement,3,8,2,1: Need crib
142,25417,BattleLore,7.26,8139,2006,60,2,2,,Fantasy,Campaign / Battle Card Driven,16,10,2,3: Too much
